Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings
AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2385.55B,23.63,139.23,-2.63%,"41,443,703",-1.68%,-7.93%,-4.78%,-16.09%,1.48%,-19.47%,3.15%,2.99%,1.90,80.81M,1.17,1.25,4.81,-5.07%,-11.26%,-12.09%,-23.89%,7.90%,38.19,-3.55%,0.95%,16.16B,16.06B,0.07%,-4.20%,59.70%,-0.07%,0.64%,1.28,22.12,2.49,6.16,39.72,49.46,25.71,71.40%,5.86%,22.00%,9.48%,11.10%,0.64%,28.10%,153.00%,50.00%,0.90,0.80,1.63,2.06,43.30%,30.50%,25.70%,Oct 27/a
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,110.47B,24.79,56.27,-4.53%,"54,528,698",-13.13%,-23.90%,-27.33%,-39.70%,-46.01%,-59.04%,6.65%,4.88%,2.00,83.07M,1.50,2.04,3.60,-15.40%,-30.66%,-42.73%,-65.78%,3.12%,25.75,-5.57%,1.10%,1.62B,1.61B,0.50%,-2.37%,68.50%,0.08%,2.00%,0.39,13.59,0.97,5.12,1.73,18.44,33.17,24.70%,10.13%,44.60%,25.46%,30.90%,-,7.90%,10.00%,40.10%,2.40,2.00,0.04,0.05,48.00%,16.80%,14.50%,Nov 01/a
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1203.85B,101.20,108.77,-3.34%,"28,027,190",-6.46%,-12.46%,-0.90%,-27.65%,-31.47%,-32.50%,4.33%,3.53%,1.80,57.23M,1.12,1.32,4.67,-7.01%,-14.81%,-19.36%,-42.18%,7.42%,33.43,-4.69%,1.41%,10.18B,9.18B,9.80%,-0.01%,59.80%,-0.05%,0.86%,1.38,49.03,3.04,2.48,8.72,19.83,-,54.90%,149.46%,67.60%,33.25%,28.10%,-,2.80%,8.90%,9.50%,1.00,0.70,0.59,0.63,42.60%,3.10%,2.40%,Jul 28/a
BA,The Boeing Company,Industrials,Aerospace & Defense,USA,80.08B,-,132.16,-0.18%,"3,137,874",0.15%,-11.30%,-10.38%,-27.60%,-40.30%,-34.23%,4.40%,4.16%,-,7.21M,1.00,1.43,5.96,-0.74%,-12.04%,-20.37%,-43.51%,16.94%,42.85,-2.53%,2.41%,596.40M,593.19M,0.10%,0.00%,57.90%,0.08%,1.52%,1.25,29.47,-,1.32,-,7.00,-,65.80%,283.00%,-23.80%,20.17%,-7.80%,-,-3.80%,35.30%,-5.00%,1.30,0.30,-,-,2.70%,-7.00%,-8.70%,Oct 26/b
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,172.04B,14.42,39.99,-1.54%,"6,009,373",-2.19%,-7.62%,-5.71%,-22.13%,-25.65%,-35.92%,3.07%,2.37%,2.50,18.98M,0.72,0.95,1.07,-2.69%,-9.05%,-19.00%,-37.80%,3.57%,39.16,-2.09%,0.57%,4.13B,4.11B,0.08%,-2.32%,75.10%,0.23%,0.80%,1.72,10.68,2.15,3.34,4.22,8.93,26.37,12.70%,7.67%,8.20%,6.69%,1.40%,3.74%,12.50%,29.10%,22.90%,1.40,1.30,0.21,0.24,62.50%,27.10%,22.90%,Aug 17/a
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,132.13B,14.64,89.71,-0.43%,"2,645,830",-8.60%,-10.84%,-5.53%,-14.17%,8.35%,-12.66%,4.28%,2.68%,2.10,5.09M,1.19,0.71,2.88,-6.99%,-10.16%,-10.51%,-19.36%,8.19%,34.69,-1.25%,0.83%,1.31B,1.31B,0.10%,-16.59%,80.30%,-0.08%,1.12%,2.88,9.94,2.31,0.43,1.57,8.81,10.10,8.80%,5.96%,3.90%,6.34%,10.50%,2.44%,3.50%,10.90%,7.80%,0.90,0.70,0.68,0.73,39.50%,4.20%,2.70%,Nov 02/b
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,326.34B,11.04,161.35,-2.38%,"3,091,800",2.39%,1.23%,20.07%,-3.72%,53.34%,40.84%,3.67%,2.93%,2.30,8.99M,0.79,1.15,5.08,5.21%,3.11%,5.18%,-11.54%,49.25%,57.00,-1.22%,-1.17%,1.96B,1.96B,0.08%,-44.80%,71.70%,0.01%,1.00%,2.18,9.73,0.80,1.58,2.10,26.38,16.68,374.50%,-9.21%,100.80%,13.82%,7.10%,3.44%,11.80%,20.20%,6.70%,1.30,1.10,0.15,0.17,39.90%,16.00%,14.10%,Oct 28/b
DIS,The Walt Disney Company,Communication Services,Entertainment,USA,181.40B,55.32,95.00,-1.70%,"3,296,686",-3.40%,-14.10%,1.51%,-26.98%,-44.13%,-37.61%,3.50%,3.07%,2.00,10.82M,0.70,1.24,3.33,-4.58%,-12.55%,-20.95%,-47.00%,5.29%,38.86,-2.37%,0.69%,1.82B,1.82B,0.15%,-0.11%,63.70%,0.02%,1.09%,1.83,17.90,1.48,2.24,1.90,14.00,149.18,170.70%,40.41%,-28.00%,37.43%,3.90%,-,1.50%,3.50%,2.20%,1.00,1.00,0.50,0.56,34.40%,8.10%,3.90%,Aug 10/a
DKNG,DraftKings Inc.,Consumer Cyclical,Gambling,USA,5.74B,-,12.56,-5.03%,"11,370,067",-17.58%,-28.15%,2.80%,-21.07%,-73.46%,-51.87%,10.59%,7.33%,2.30,20.86M,1.25,-,1.18,-20.16%,-26.09%,-26.70%,-75.53%,28.51%,32.65,-6.45%,1.51%,437.03M,434.23M,2.10%,0.00%,56.60%,0.05%,9.01%,1.88,-,-,3.66,3.27,2.96,-,6.10%,36.00%,-,-6.80%,-,-,-38.40%,-93.50%,-53.60%,2.30,2.30,0.71,0.71,33.10%,-,-99.10%,Aug 05/b
DOCU,"DocuSign, Inc.",Technology,Software - Application,USA,10.00B,-,44.62,-3.42%,"1,431,873",-10.41%,-23.70%,-27.16%,-55.81%,-82.18%,-69.67%,6.60%,5.30%,2.90,4.54M,0.72,1.18,3.21,-14.38%,-25.02%,-47.66%,-84.53%,5.91%,31.48,-5.51%,2.21%,200.62M,197.75M,1.10%,0.00%,79.70%,0.02%,9.66%,4.20,24.38,-,4.28,22.76,10.05,22.71,72.80%,14.64%,16.20%,20.00%,40.80%,-,-4.30%,-34.20%,-6.50%,1.00,1.00,1.77,0.00,77.90%,-3.80%,-4.60%,Sep 08/a
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,USA,40.86B,11.49,155.85,-0.26%,"1,010,569",0.68%,-23.78%,-28.27%,-24.26%,-30.16%,-39.59%,3.46%,3.61%,2.30,3.35M,0.69,1.32,6.86,1.58%,-19.56%,-28.30%,-41.58%,9.82%,37.78,-0.66%,0.40%,259.00M,240.32M,5.70%,-0.34%,73.70%,0.16%,1.97%,1.42,8.61,1.27,0.43,1.61,5.97,20.58,-22.10%,24.77%,5.30%,9.06%,9.20%,2.94%,4.20%,14.40%,11.40%,1.40,1.40,0.79,0.80,68.20%,6.40%,3.80%,Sep 22/a
FVRR,Fiverr International Ltd.,Consumer Cyclical,Internet Retail,Israel,1.10B,-,26.92,-3.37%,"172,158",-14.12%,-19.57%,-10.62%,-58.95%,-84.96%,-75.50%,6.69%,5.70%,2.20,783.23K,0.50,1.74,1.87,-12.74%,-22.63%,-49.92%,-86.52%,2.55%,30.32,-5.68%,2.44%,37.03M,32.35M,12.85%,0.00%,53.00%,0.10%,13.31%,5.50,25.80,-,3.38,4.34,2.64,35.50,-294.60%,97.44%,-,-,-,-,-10.00%,-31.00%,-6.30%,2.70,2.70,1.90,1.90,80.90%,-25.50%,-28.50%,Aug 04/b
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1333.09B,18.77,96.88,-2.20%,"10,583,189",-2.33%,-5.66%,-11.38%,-23.74%,-28.00%,-31.61%,3.05%,2.73%,1.80,28.50M,0.85,1.10,3.03,-2.51%,-10.12%,-19.76%,-36.07%,2.64%,38.71,-3.11%,0.94%,6.88B,5.92B,7.73%,0.00%,78.70%,0.02%,0.87%,1.81,16.71,-,4.79,5.09,10.66,20.45,91.40%,15.42%,32.10%,-,23.30%,-,20.30%,28.60%,24.00%,2.80,2.80,0.06,0.06,56.70%,29.60%,25.90%,Jul 26/a
IBM,International Business Machines Corporation,Technology,Information Technology Services,USA,113.16B,19.29,120.48,-1.08%,"1,376,536",-0.36%,-4.62%,-12.96%,-3.45%,-9.42%,-8.88%,2.94%,2.41%,2.70,4.67M,0.67,0.83,3.04,-1.65%,-5.84%,-8.53%,-16.76%,5.17%,43.42,-1.08%,0.01%,903.18M,902.32M,0.10%,-0.06%,57.60%,-0.05%,2.87%,5.53,12.08,2.00,1.90,5.66,14.97,-,13.40%,8.42%,-16.20%,9.66%,-6.40%,5.42%,-,-,6.50%,0.90,0.80,2.28,2.59,54.00%,-,-,Oct 19/a
INTC,Intel Corporation,Technology,Semiconductors,USA,114.64B,5.66,26.01,-1.55%,"22,008,729",-2.80%,-9.46%,-31.59%,-43.80%,-49.45%,-48.70%,4.37%,3.22%,3.10,42.21M,1.19,0.71,1.03,-4.03%,-15.66%,-37.55%,-53.78%,5.77%,37.27,-1.70%,0.15%,4.11B,4.10B,0.06%,0.95%,64.10%,-0.04%,1.58%,1.54,10.09,-,1.56,1.07,4.24,7.41,-1.60%,16.93%,18.10%,-0.16%,5.90%,5.53%,11.20%,19.60%,13.20%,1.90,1.40,0.32,0.35,49.80%,20.20%,26.00%,Oct 27/a
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,438.84B,24.01,164.08,-0.65%,"1,952,640",2.00%,0.30%,-7.34%,-8.59%,3.74%,-3.46%,2.06%,1.77%,2.40,6.99M,0.64,0.55,3.01,-0.16%,-0.81%,-4.63%,-12.11%,5.37%,49.36,-0.22%,-0.43%,2.63B,2.63B,0.09%,-3.16%,70.80%,0.16%,0.49%,1.85,15.61,5.90,4.59,5.69,13.47,50.97,44.70%,5.22%,5.70%,4.07%,5.50%,2.74%,10.20%,24.90%,19.40%,1.40,1.20,0.37,0.43,67.90%,21.30%,19.20%,Oct 18/b
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,327.77B,8.78,112.23,2.61%,"20,386,634",1.14%,-5.81%,-3.17%,-14.08%,-32.07%,-30.93%,3.81%,3.07%,2.30,12.02M,3.88,1.07,3.68,2.96%,-1.52%,-12.38%,-35.11%,10.81%,53.59,0.41%,2.19%,2.96B,2.91B,0.93%,-0.09%,70.60%,0.10%,0.62%,1.51,8.72,7.14,5.15,1.28,0.21,2.71,73.10%,12.42%,19.90%,1.23%,0.70%,3.66%,1.00%,14.60%,6.30%,-,-,1.14,1.14,-,87.90%,58.40%,Oct 14/b
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,USA,182.75B,30.40,243.30,-1.40%,"1,133,756",5.11%,-3.51%,-3.24%,-1.82%,1.69%,-7.95%,2.42%,2.05%,2.00,2.60M,1.00,0.59,5.13,0.72%,-3.57%,-2.70%,-10.27%,11.77%,49.42,-2.32%,0.94%,737.50M,734.48M,0.17%,-2.03%,69.80%,0.02%,0.92%,2.60,23.42,4.24,7.75,-,97.60,92.63,59.10%,6.99%,13.00%,7.17%,-1.20%,2.24%,11.80%,-107.50%,28.30%,1.40,1.40,-,-,55.30%,37.60%,25.80%,Oct 27/b
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,12.31B,4.30,30.77,0.16%,"1,917,653",-7.80%,-9.70%,5.10%,-25.58%,-36.20%,-31.55%,5.05%,4.54%,2.20,5.00M,0.88,2.06,1.51,-2.73%,-7.51%,-16.75%,-39.87%,16.51%,43.31,-1.54%,1.73%,417.39M,315.33M,17.10%,1.81%,72.60%,-0.04%,5.39%,3.40,28.87,-,1.04,2.24,2.13,9.11,219.60%,-26.21%,4.70%,-,0.40%,0.03%,7.50%,53.90%,10.70%,1.70,1.60,1.26,1.49,49.20%,40.00%,26.90%,Nov 02/a
